SKU,URLIMG,POS
VLJ27652,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/vlj27652.jpg?v=1731294638,1
TAM-87201,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/87201_1.jpg?v=1731294486,1
TAM-87096,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/87096_1.jpg?v=1731294004,1
TAM-87075,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/tam87075.jpg?v=1731293913,1
MSI-2,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/msi2.jpg?v=1731293696,1
MSI-1,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/msi1.jpg?v=1731292047,1
ALC114,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/alc114.jpg?v=1731291067,1
AK13010,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/ak13010-1.jpg?v=1731290894,1
AK13009,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/ak13009-2.jpg?v=1731290774,1
AK13008,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/ak13008-2.jpg?v=1731290458,1
AK13007,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/ak13007-2.jpg?v=1731290291,1
AK13006,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/ak13006-2.jpg?v=1731290040,1
AK13005,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/ak13005-2.jpg?v=1731289734,1
AK13004,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/ak13004-2.jpg?v=1731289643,1
AK13003,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/ak13003-2.jpg?v=1731289523,1
AK13002,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/AK13002.jpg?v=1731289415,1
AK13001,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/ak13001-2.jpg?v=1731289317,1
AK326,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/AK326.jpg?v=1731287749,1
AK325,https://cdn.shopify.com/s/files/1/0853/2056/5025/files/AK325.jpg?v=1731286604,1
