SKU,URLIMG,POS
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63397_3.jpg,4
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63397_4.jpg,5
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63397_5.jpg,6
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63397_6.jpg,7
BANS63366,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63366_0.jpg,1
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63366_1.jpg,2
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63366_2.jpg,3
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63366_3.jpg,4
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63366_4.jpg,5
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63366_5.jpg,6
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63366_6.jpg,7
BANS63360,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63360_0.png,1
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63360_1-Editada.png,2
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63360_2.png,3
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63360_3.png,4
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63360_4.png,5
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63360_5.png,6
BANS63352,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63352_0.png,1
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63352_1.png,2
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63352_2.png,3
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63352_3.png,4
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63352_4.png,5
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63352_5.png,6
BANS63349,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63349_0.png,1
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63349_1-Editada.png,2
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63349_2.png,3
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63349_3.png,4
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans63349_4.png,5
BANS62944,https://cdn.shopify.com/s/files/1/1039/4986/products/bans62944_0.jpg,1
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans62944_1.jpg,2
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans62944_2.jpg,3
,https://cdn.shopify.com/s/files/1/1039/4986/products/bans62944_3.jpg,4
